TWEET_ID,TYPE,SENTIMENT,DATE
9.50514E+17,interdisciplinary,neutral,08-01-18 23:45
9.50513E+17,interdisciplinary,positive,08-01-18 23:43
9.5051E+17,interdisciplinary,positive,08-01-18 23:31
9.50507E+17,interdisciplinary,neutral,08-01-18 23:18
9.50505E+17,interdisciplinary,positive,08-01-18 23:11
9.50502E+17,interdisciplinary,neutral,08-01-18 23:00
9.505E+17,interdisciplinary,positive,08-01-18 22:50
9.50496E+17,interdisciplinary,neutral,08-01-18 22:36
9.50492E+17,interdisciplinary,neutral,08-01-18 22:19
9.50491E+17,interdisciplinary,neutral,08-01-18 22:14
9.50484E+17,interdisciplinary,neutral,08-01-18 21:47
9.50477E+17,interdisciplinary,positive,08-01-18 21:18
9.50476E+17,interdisciplinary,neutral,08-01-18 21:16
9.50476E+17,interdisciplinary,neutral,08-01-18 21:14
9.50473E+17,interdisciplinary,neutral,08-01-18 21:04
9.50473E+17,interdisciplinary,positive,08-01-18 21:01
9.50466E+17,interdisciplinary,positive,08-01-18 20:35
9.50464E+17,interdisciplinary,positive,08-01-18 20:27
9.50461E+17,interdisciplinary,positive,08-01-18 20:16
9.5046E+17,interdisciplinary,neutral,08-01-18 20:10
9.50457E+17,interdisciplinary,positive,08-01-18 19:58
9.50456E+17,interdisciplinary,neutral,08-01-18 19:57
9.50452E+17,interdisciplinary,neutral,08-01-18 19:40
9.50452E+17,interdisciplinary,neutral,08-01-18 19:39
9.50451E+17,interdisciplinary,neutral,08-01-18 19:35
9.5045E+17,interdisciplinary,positive,08-01-18 19:33
9.50448E+17,interdisciplinary,positive,08-01-18 19:24
9.50443E+17,interdisciplinary,neutral,08-01-18 19:02
9.50439E+17,interdisciplinary,neutral,08-01-18 18:50
9.50439E+17,interdisciplinary,neutral,08-01-18 18:47
9.50439E+17,interdisciplinary,neutral,08-01-18 18:46
9.50437E+17,interdisciplinary,neutral,08-01-18 18:38
9.50437E+17,interdisciplinary,neutral,08-01-18 18:38
9.50435E+17,interdisciplinary,neutral,08-01-18 18:31
9.50434E+17,interdisciplinary,neutral,08-01-18 18:29
9.50432E+17,interdisciplinary,positive,08-01-18 18:20
9.50431E+17,interdisciplinary,neutral,08-01-18 18:15
9.5043E+17,interdisciplinary,negative,08-01-18 18:12
9.5043E+17,interdisciplinary,neutral,08-01-18 18:12
9.50429E+17,interdisciplinary,positive,08-01-18 18:09
9.50426E+17,interdisciplinary,neutral,08-01-18 17:56
9.50426E+17,interdisciplinary,positive,08-01-18 17:55
9.50425E+17,interdisciplinary,negative,08-01-18 17:50
9.50424E+17,interdisciplinary,neutral,08-01-18 17:47
9.50424E+17,interdisciplinary,neutral,08-01-18 17:46
9.50423E+17,interdisciplinary,positive,08-01-18 17:44
9.50421E+17,interdisciplinary,neutral,08-01-18 17:37
9.50419E+17,interdisciplinary,positive,08-01-18 17:27
9.50416E+17,interdisciplinary,positive,08-01-18 17:14
9.50415E+17,interdisciplinary,positive,08-01-18 17:12
9.50415E+17,interdisciplinary,neutral,08-01-18 17:12
9.50413E+17,interdisciplinary,neutral,08-01-18 17:04
9.50412E+17,interdisciplinary,positive,08-01-18 17:00
9.50411E+17,interdisciplinary,neutral,08-01-18 16:55
9.50408E+17,interdisciplinary,neutral,08-01-18 16:46
9.50404E+17,interdisciplinary,neutral,08-01-18 16:30
9.50403E+17,interdisciplinary,positive,08-01-18 16:24
9.50402E+17,interdisciplinary,positive,08-01-18 16:20
9.50402E+17,interdisciplinary,neutral,08-01-18 16:19
9.504E+17,interdisciplinary,neutral,08-01-18 16:15
9.50397E+17,interdisciplinary,neutral,08-01-18 16:02
9.50396E+17,interdisciplinary,neutral,08-01-18 15:58
9.50396E+17,interdisciplinary,neutral,08-01-18 15:57
9.50393E+17,interdisciplinary,neutral,08-01-18 15:45
9.50392E+17,interdisciplinary,neutral,08-01-18 15:42
9.50391E+17,interdisciplinary,neutral,08-01-18 15:35
9.50388E+17,interdisciplinary,neutral,08-01-18 15:25
9.50386E+17,interdisciplinary,positive,08-01-18 15:19
9.50384E+17,interdisciplinary,neutral,08-01-18 15:09
9.50383E+17,interdisciplinary,neutral,08-01-18 15:06
9.50382E+17,interdisciplinary,neutral,08-01-18 15:03
9.50382E+17,interdisciplinary,neutral,08-01-18 14:59
9.50381E+17,interdisciplinary,neutral,08-01-18 14:56
9.5038E+17,interdisciplinary,neutral,08-01-18 14:52
9.5038E+17,interdisciplinary,neutral,08-01-18 14:52
9.50379E+17,interdisciplinary,neutral,08-01-18 14:51
9.50376E+17,interdisciplinary,positive,08-01-18 14:39
9.50375E+17,interdisciplinary,neutral,08-01-18 14:34
9.50375E+17,interdisciplinary,neutral,08-01-18 14:34
9.50373E+17,interdisciplinary,neutral,08-01-18 14:25
9.50372E+17,interdisciplinary,positive,08-01-18 14:20
9.50371E+17,interdisciplinary,neutral,08-01-18 14:18
9.50371E+17,interdisciplinary,neutral,08-01-18 14:17
9.5037E+17,interdisciplinary,neutral,08-01-18 14:15
9.50368E+17,interdisciplinary,positive,08-01-18 14:08
9.50367E+17,interdisciplinary,negative,08-01-18 14:01
9.50364E+17,interdisciplinary,neutral,08-01-18 13:51
9.5036E+17,interdisciplinary,neutral,08-01-18 13:34
9.50357E+17,interdisciplinary,neutral,08-01-18 13:24
9.50355E+17,interdisciplinary,positive,08-01-18 13:13
9.50353E+17,interdisciplinary,neutral,08-01-18 13:05
9.5035E+17,interdisciplinary,positive,08-01-18 12:55
9.50349E+17,interdisciplinary,positive,08-01-18 12:49
9.50348E+17,interdisciplinary,positive,08-01-18 12:47
9.50348E+17,interdisciplinary,neutral,08-01-18 12:46
9.50348E+17,interdisciplinary,neutral,08-01-18 12:45
9.50344E+17,interdisciplinary,neutral,08-01-18 12:32
9.50341E+17,interdisciplinary,neutral,08-01-18 12:17
9.50332E+17,interdisciplinary,positive,08-01-18 11:42
9.50331E+17,interdisciplinary,positive,08-01-18 11:40
9.50329E+17,interdisciplinary,neutral,08-01-18 11:30
9.50328E+17,interdisciplinary,neutral,08-01-18 11:28
9.50323E+17,interdisciplinary,neutral,08-01-18 11:08
9.50319E+17,interdisciplinary,negative,08-01-18 10:51
9.50319E+17,interdisciplinary,positive,08-01-18 10:49
9.50313E+17,interdisciplinary,neutral,08-01-18 10:29
9.50312E+17,interdisciplinary,neutral,08-01-18 10:25
9.50311E+17,interdisciplinary,positive,08-01-18 10:18
9.5031E+17,interdisciplinary,positive,08-01-18 10:13
9.50309E+17,interdisciplinary,positive,08-01-18 10:11
9.50297E+17,interdisciplinary,neutral,08-01-18 9:23
9.50296E+17,interdisciplinary,neutral,08-01-18 9:20
9.50294E+17,interdisciplinary,negative,08-01-18 9:13
9.50294E+17,interdisciplinary,neutral,08-01-18 9:11
